ticker,market,name,sector,liquidity_tag,included_reason
000001.SZ,,平安银行,,,from_v4_outputs
000002.SZ,,万科A,,,from_v4_outputs
00001.HK,,CKH HOLDINGS,,,from_v4_outputs
00002.HK,,CLP HOLDINGS,,,from_v4_outputs
00003.HK,,HK & CHINA GAS,,,from_v4_outputs
00004.HK,,WHARF HOLDINGS,,,from_v4_outputs
00005.HK,,HSBC HOLDINGS,,,from_v4_outputs
00006.HK,,POWER ASSETS,,,from_v4_outputs
000063.SZ,,中兴通讯,,,from_v4_outputs
00008.HK,,PCCW,,,from_v4_outputs
00010.HK,,HANG LUNG GROUP,,,from_v4_outputs
000100.SZ,,TCL科技,,,from_v4_outputs
00012.HK,,HENDERSON LAND,,,from_v4_outputs
00013.HK,,HUTCHMED,,,from_v4_outputs
00014.HK,,HYSAN DEV,,,from_v4_outputs
000157.SZ,,中联重科,,,from_v4_outputs
00016.HK,,SHK PPT,,,from_v4_outputs
000166.SZ,,申万宏源,,,from_v4_outputs
00017.HK,,NEW WORLD DEV,,,from_v4_outputs
00019.HK,,SWIRE PACIFIC A,,,from_v4_outputs
00020.HK,,SENSETIME-W,,,from_v4_outputs
00023.HK,,BANK OF E ASIA,,,from_v4_outputs
00027.HK,,GALAXY ENT,,,from_v4_outputs
00028.HK,,TIAN AN,,,from_v4_outputs
00029.HK,,DYNAMIC HOLD,,,from_v4_outputs
00030.HK,,YNBY INTL,,,from_v4_outputs
000301.SZ,,东方盛虹,,,from_v4_outputs
000333.SZ,,美的集团,,,from_v4_outputs
000338.SZ,,潍柴动力,,,from_v4_outputs
00034.HK,,KOWLOON DEV,,,from_v4_outputs
00038.HK,,FIRST TRACTOR,,,from_v4_outputs
000408.SZ,,藏格矿业,,,from_v4_outputs
00041.HK,,GREAT EAGLE H,,,from_v4_outputs
000425.SZ,,徐工机械,,,from_v4_outputs
00045.HK,,HK&S HOTELS,,,from_v4_outputs
00050.HK,,HK FERRY (HOLD),,,from_v4_outputs
00053.HK,,GUOCO GROUP,,,from_v4_outputs
000538.SZ,,云南白药,,,from_v4_outputs
000568.SZ,,泸州老窖,,,from_v4_outputs
000596.SZ,,古井贡酒,,,from_v4_outputs
000617.SZ,,中油资本,,,from_v4_outputs
00062.HK,,TRANSPORT INT'L,,,from_v4_outputs
000625.SZ,,长安汽车,,,from_v4_outputs
000630.SZ,,铜陵有色,,,from_v4_outputs
00064.HK,,GET NICE,,,from_v4_outputs
000651.SZ,,格力电器,,,from_v4_outputs
00066.HK,,MTR CORPORATION,,,from_v4_outputs
000661.SZ,,长春高新,,,from_v4_outputs
00069.HK,,SHANGRI-LA ASIA,,,from_v4_outputs
000708.SZ,,中信特钢,,,from_v4_outputs
00071.HK,,MIRAMAR HOTEL,,,from_v4_outputs
000725.SZ,,京东方A,,,from_v4_outputs
000768.SZ,,中航西飞,,,from_v4_outputs
000776.SZ,,广发证券,,,from_v4_outputs
000786.SZ,,北新建材,,,from_v4_outputs
000792.SZ,,盐湖股份,,,from_v4_outputs
000807.SZ,,云铝股份,,,from_v4_outputs
00081.HK,,CH OVS G OCEANS,,,from_v4_outputs
00083.HK,,SINO LAND,,,from_v4_outputs
00085.HK,,CE HUADA TECH,,,from_v4_outputs
000858.SZ,,五粮液,,,from_v4_outputs
00086.HK,,SUN HUNG KAI CO,,,from_v4_outputs
000876.SZ,,新 希 望,,,from_v4_outputs
00088.HK,,TAI CHEUNG HOLD,,,from_v4_outputs
000895.SZ,,双汇发展,,,from_v4_outputs
000938.SZ,,紫光股份,,,from_v4_outputs
000963.SZ,,华东医药,,,from_v4_outputs
000975.SZ,,山金国际,,,from_v4_outputs
000977.SZ,,浪潮信息,,,from_v4_outputs
000983.SZ,,山西焦煤,,,from_v4_outputs
000999.SZ,,华润三九,,,from_v4_outputs
00100.HK,,MINIMAX-WP,,,from_v4_outputs
00101.HK,,HANG LUNG PPT,,,from_v4_outputs
00107.HK,,SICHUAN EXPRESS,,,from_v4_outputs
00116.HK,,CHOW SANG SANG,,,from_v4_outputs
00119.HK,,POLY PROPERTY,,,from_v4_outputs
00123.HK,,YUEXIU PROPERTY,,,from_v4_outputs
00135.HK,,KUNLUN ENERGY,,,from_v4_outputs
00136.HK,,CHINA RUYI,,,from_v4_outputs
001391.SZ,,国货航,,,from_v4_outputs
00142.HK,,FIRST PACIFIC,,,from_v4_outputs
00144.HK,,CHINA MER PORT,,,from_v4_outputs
00147.HK,,IB SETTLEMENT,,,from_v4_outputs
00148.HK,,KINGBOARD HLDG,,,from_v4_outputs
00151.HK,,WANT WANT CHINA,,,from_v4_outputs
00152.HK,,SHENZHEN INT'L,,,from_v4_outputs
00165.HK,,CHINA EB LTD,,,from_v4_outputs
