ticker,market,name,sector,liquidity_tag,included_reason
00881.HK,HK,ZHONGSHENG HLDG,Consumer Cyclical,,top10_by_group_tiered
APTV,US,Aptiv,Consumer Cyclical,,top10_by_group_tiered
00763.HK,HK,ZTE,Technology,,top10_by_group_tiered
300122.SZ,A,智飞生物,Healthcare,,top10_by_group_tiered
00656.HK,HK,FOSUN INTL,Industrials,,top10_by_group_tiered
000063.SZ,A,中兴通讯,Technology,,top10_by_group_tiered
00341.HK,HK,CAFE DE CORAL H,Consumer Cyclical,,top10_by_group_tiered
BLDR,US,Builders FirstSource,Industrials,,top10_by_group_tiered
BXP,US,"BXP, Inc.",Real Estate,,top10_by_group_tiered
00581.HK,HK,CHINA ORIENTAL,Basic Materials,,top10_by_group_tiered
000002.SZ,A,万科A,Real Estate,,top10_by_group_tiered
00081.HK,HK,CH OVS G OCEANS,Real Estate,,top10_by_group_tiered
EMN,US,Eastman Chemical Company,Basic Materials,,top10_by_group_tiered
TSLA,US,Tesla,Consumer Cyclical,,top10_by_group_tiered
ENPH,US,Enphase Energy,Technology,,top10_by_group_tiered
HPQ,US,HP Inc.,Technology,,top10_by_group_tiered
00817.HK,HK,CHINA JINMAO,Real Estate,,top10_by_group_tiered
00604.HK,HK,SHENZHEN INVEST,Real Estate,,top10_by_group_tiered
002074.SZ,A,国轩高科,Industrials,,top10_by_group_tiered
GNRC,US,Generac,Industrials,,top10_by_group_tiered
00819.HK,HK,TIANNENG POWER,Consumer Cyclical,,top10_by_group_tiered
00800.HK,HK,WERIDE-W,Technology,,top10_by_group_tiered
00856.HK,HK,VSTECS,Technology,,top10_by_group_tiered
00636.HK,HK,KLN,Industrials,,top10_by_group_tiered
3690.HK,HK,Meituan,Consumer Cyclical,,top10_by_group_tiered
COF,US,Capital One,Financial Services,,top10_by_group_tiered
AES,US,AES Corporation,Utilities,,top10_by_group_tiered
CARR,US,Carrier Global,Industrials,,top10_by_group_tiered
HUM,US,Humana,Healthcare,,top10_by_group_tiered
000938.SZ,A,紫光股份,Technology,,top10_by_group_tiered
HPE,US,Hewlett Packard Enterprise,Technology,,top10_by_group_tiered
002459.SZ,A,晶澳科技,Technology,,top10_by_group_tiered
603260.SS,A,合盛硅业,Basic Materials,,top10_by_group_tiered
601618.SS,A,中国中冶,Industrials,,top10_by_group_tiered
688036.SS,A,传音控股,Technology,,top10_by_group_tiered
002601.SZ,A,龙佰集团,Basic Materials,,top10_by_group_tiered
688472.SS,A,阿特斯,Technology,,top10_by_group_tiered
301236.SZ,A,软通动力,Technology,,top10_by_group_tiered
00732.HK,HK,TRULY INT'L,Technology,,top10_by_group_tiered
000983.SZ,A,山西焦煤,Energy,,top10_by_group_tiered
00147.HK,HK,IB SETTLEMENT,Real Estate,,top10_by_group_tiered
LEN,US,Lennar,Consumer Cyclical,,top10_by_group_tiered
00511.HK,HK,TVB,Communication Services,,top10_by_group_tiered
00119.HK,HK,POLY PROPERTY,Real Estate,,top10_by_group_tiered
00853.HK,HK,MICROPORT,Healthcare,,top10_by_group_tiered
000977.SZ,A,浪潮信息,Technology,,top10_by_group_tiered
CRL,US,Charles River Laboratories,Healthcare,,top10_by_group_tiered
F,US,Ford Motor Company,Consumer Cyclical,,top10_by_group_tiered
GPC,US,Genuine Parts Company,Consumer Cyclical,,top10_by_group_tiered
GM,US,General Motors,Consumer Cyclical,,top10_by_group_tiered
BG,US,Bunge Global,Consumer Defensive,,top10_by_group_tiered
KMX,US,CarMax,Consumer Cyclical,,top10_by_group_tiered
002493.SZ,A,荣盛石化,Basic Materials,,top10_by_group_tiered
00316.HK,HK,OOIL,Industrials,,top10_by_group_tiered
CBRE,US,CBRE Group,Real Estate,,top10_by_group_tiered
9618.HK,HK,JD.com HK,Consumer Cyclical,,top10_by_group_tiered
600438.SS,A,通威股份,Technology,,top10_by_group_tiered
00753.HK,HK,AIR CHINA,Industrials,,top10_by_group_tiered
00719.HK,HK,SHANDONG XINHUA,Healthcare,,top10_by_group_tiered
601868.SS,A,中国能建,Industrials,,top10_by_group_tiered
00598.HK,HK,SINOTRANS,Industrials,,top10_by_group_tiered
LKQ,US,LKQ Corporation,Consumer Cyclical,,top10_by_group_tiered
GPN,US,Global Payments,Industrials,,top10_by_group_tiered
AJG,US,Arthur J. Gallagher & Co.,Financial Services,,top10_by_group_tiered
002422.SZ,A,科伦药业,Healthcare,,top10_by_group_tiered
FOXA,US,Fox Corporation (Class A),Communication Services,,top10_by_group_tiered
BBY,US,Best Buy,Consumer Cyclical,,top10_by_group_tiered
IT,US,Gartner,Technology,,top10_by_group_tiered
BAX,US,Baxter International,Healthcare,,top10_by_group_tiered
ARE,US,Alexandria Real Estate Equities,Real Estate,,top10_by_group_tiered
00558.HK,HK,LK TECH,Industrials,,top10_by_group_tiered
00200.HK,HK,MELCO INT'L DEV,Consumer Cyclical,,top10_by_group_tiered
CHTR,US,Charter Communications,Communication Services,,top10_by_group_tiered
ADP,US,Automatic Data Processing,Technology,,top10_by_group_tiered
AMP,US,Ameriprise Financial,Financial Services,,top10_by_group_tiered
600016.SS,A,民生银行,Financial Services,,top10_by_group_tiered
CPRT,US,Copart,Industrials,,top10_by_group_tiered
00085.HK,HK,CE HUADA TECH,Technology,,top10_by_group_tiered
603392.SS,A,万泰生物,Healthcare,,top10_by_group_tiered
00754.HK,HK,HOPSON DEV HOLD,Real Estate,,top10_by_group_tiered
ERIE,US,Erie Indemnity,Financial Services,,top10_by_group_tiered
00272.HK,HK,SHUI ON LAND,Real Estate,,top10_by_group_tiered
00775.HK,HK,CKLIFE SCIENCES,Healthcare,,top10_by_group_tiered
601633.SS,A,长城汽车,Consumer Cyclical,,top10_by_group_tiered
000876.SZ,A,新 希 望,Consumer Defensive,,top10_by_group_tiered
KHC,US,Kraft Heinz,Consumer Defensive,,top10_by_group_tiered
601127.SS,A,赛力斯,Consumer Cyclical,,top10_by_group_tiered
600845.SS,A,宝信软件,Technology,,top10_by_group_tiered
00345.HK,HK,VITASOY INT'L,Consumer Defensive,,top10_by_group_tiered
AVB,US,AvalonBay Communities,Real Estate,,top10_by_group_tiered
600809.SS,A,山西汾酒,Consumer Defensive,,top10_by_group_tiered
601788.SS,A,光大证券,Financial Services,,top10_by_group_tiered
ESS,US,Essex Property Trust,Real Estate,,top10_by_group_tiered
00327.HK,HK,PAX GLOBAL,Industrials,,top10_by_group_tiered
UNH,US,UnitedHealth,Healthcare,,top10_by_group_tiered
00880.HK,HK,SJM HOLDINGS,Consumer Cyclical,,top10_by_group_tiered
601012.SS,A,隆基绿能,Technology,,top10_by_group_tiered
HRL,US,Hormel Foods,Consumer Defensive,,top10_by_group_tiered
00347.HK,HK,ANGANG STEEL,Basic Materials,,top10_by_group_tiered
00412.HK,HK,SDHG,Financial Services,,top10_by_group_tiered
COO,US,Cooper Companies (The),Healthcare,,top10_by_group_tiered
600588.SS,A,用友网络,Technology,,top10_by_group_tiered
601800.SS,A,中国交建,Industrials,,top10_by_group_tiered
CNC,US,Centene Corporation,Healthcare,,top10_by_group_tiered
300782.SZ,A,卓胜微,Technology,,top10_by_group_tiered
688169.SS,A,石头科技,Industrials,,top10_by_group_tiered
600570.SS,A,恒生电子,Technology,,top10_by_group_tiered
LII,US,Lennox International,Industrials,,top10_by_group_tiered
002648.SZ,A,卫星化学,Basic Materials,,top10_by_group_tiered
FOX,US,Fox Corporation (Class B),Communication Services,,top10_by_group_tiered
CAG,US,Conagra Brands,Consumer Defensive,,top10_by_group_tiered
DHI,US,D. R. Horton,Consumer Cyclical,,top10_by_group_tiered
00855.HK,HK,CHINA WATER,Utilities,,top10_by_group_tiered
BRO,US,Brown & Brown,Financial Services,,top10_by_group_tiered
