ticker,name,sector,price_to_fair_value,fair_value,target_mean_price,valuation_source,valuation_source_detail,dcf_symbol,dcf_iv_base,dcf_mos_base,dcf_price,dcf_status,dcf_quality_gate_status,dcf_quality_gate_score,dcf_quality_gate_issues,dcf_comps_crosscheck_status,dcf_comps_deviation_vs_median,dcf_comps_source,dcf_quality_penalty_multiplier,quality_score,growth_score,momentum_score,catalyst_score,risk_score,certainty_score,data_lineage,note
600519.SS,贵州茅台,Unknown,0.6710,2106.6667,2106.6667,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.600519,,,,,,,,,,,1.0000,7.1,49.6,56.9,49.4,78.7,27.8,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=3.544% | real-data@2026-03-13 | close=1413.64 | target=2106.67 | fv_source=target_mean_price | dcf_symbol=SH.600519 | upside=49.0%
000858.SZ,五 粮 液,Unknown,0.5700,180.6133,180.6133,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SZ.000858,,,,,,,,,,,1.0000,12.6,68.8,81.3,47.8,64.1,35.4,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.786% | real-data@2026-03-13 | close=102.95 | target=180.61 | fv_source=target_mean_price | dcf_symbol=SZ.000858 | upside=75.4%
300750.SZ,宁德时代,Unknown,0.8036,494.0000,494.0000,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SZ.300750,,,,,,,,,,,1.0000,40.8,33.7,22.1,36.8,43.1,57.3,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=3.518% | real-data@2026-03-13 | close=397.00 | target=494.00 | fv_source=target_mean_price | dcf_symbol=SZ.300750 | upside=24.4%
600036.SS,招商银行,Unknown,0.7504,52.9850,52.9850,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.600036,,,,,,,,,,,1.0000,36.6,57.5,63.4,33.4,70.1,46.0,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=1.866% | real-data@2026-03-13 | close=39.76 | target=52.98 | fv_source=target_mean_price | dcf_symbol=SH.600036 | upside=33.3%
601318.SS,中国平安,Unknown,0.6708,91.2400,91.2400,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.601318,,,,,,,,,,,1.0000,51.0,47.4,38.9,43.8,64.7,52.5,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=2.616% | real-data@2026-03-13 | close=61.20 | target=91.24 | fv_source=target_mean_price | dcf_symbol=SH.601318 | upside=49.1%
600900.SS,长江电力,Unknown,0.8680,31.5900,31.5900,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.600900,,,,,,,,,,,1.0000,27.5,57.5,56.7,59.4,77.2,37.5,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=1.239% | real-data@2026-03-13 | close=27.42 | target=31.59 | fv_source=target_mean_price | dcf_symbol=SH.600900 | upside=15.2%
002594.SZ,比亚迪,Unknown,0.8178,121.8700,121.8700,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SZ.002594,,,,,,,,,,,1.0000,64.2,49.6,66.7,51.2,35.3,68.7,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.944% | real-data@2026-03-13 | close=99.67 | target=121.87 | fv_source=target_mean_price | dcf_symbol=SZ.002594 | upside=22.3%
600276.SS,恒瑞医药,Unknown,0.6651,82.8650,82.8650,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.600276,,,,,,,,,,,1.0000,17.3,37.9,68.6,43.4,50.0,42.5,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.982% | real-data@2026-03-13 | close=55.11 | target=82.86 | fv_source=target_mean_price | dcf_symbol=SH.600276 | upside=50.4%
601899.SS,紫金矿业,Unknown,0.7844,45.6000,45.6000,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.601899,,,,,,,,,,,1.0000,39.0,36.3,9.1,35.7,49.8,54.2,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=2.534% | real-data@2026-03-13 | close=35.77 | target=45.60 | fv_source=target_mean_price | dcf_symbol=SH.601899 | upside=27.5%
300308.SZ,中际旭创,Unknown,2.3868,227.0940,227.0940,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SZ.300308,,,,,,,,,,,1.0000,19.7,24.3,14.7,59.5,25.2,37.9,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=2.308% | real-data@2026-03-13 | close=542.02 | target=227.09 | fv_source=target_mean_price | dcf_symbol=SZ.300308 | upside=-58.1%
000333.SZ,美的集团,Unknown,1.0913,70.4275,70.4275,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SZ.000333,,,,,,,,,,,1.0000,46.0,39.6,50.8,58.3,73.6,36.2,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=1.506% | real-data@2026-03-13 | close=76.86 | target=70.43 | fv_source=target_mean_price | dcf_symbol=SZ.000333 | upside=-8.4%
300502.SZ,新易盛,Unknown,2.3409,168.3224,168.3224,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SZ.300502,,,,,,,,,,,1.0000,16.1,17.0,18.3,59.8,26.5,42.6,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=1.391% | real-data@2026-03-13 | close=394.03 | target=168.32 | fv_source=target_mean_price | dcf_symbol=SZ.300502 | upside=-57.3%
601166.SS,兴业银行,Unknown,0.9915,18.9919,18.9919,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.601166,,,,,,,,,,,1.0000,46.6,54.5,73.3,66.6,55.1,51.5,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=1.206% | real-data@2026-03-13 | close=18.83 | target=18.99 | fv_source=target_mean_price | dcf_symbol=SH.601166 | upside=0.9%
300059.SZ,东方财富,Unknown,1.0891,19.3736,19.3736,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SZ.300059,,,,,,,,,,,1.0000,30.0,26.1,80.6,57.8,38.9,45.6,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=1.108% | real-data@2026-03-13 | close=21.10 | target=19.37 | fv_source=target_mean_price | dcf_symbol=SZ.300059 | upside=-8.2%
600030.SS,中信证券,Unknown,0.9909,25.9867,25.9867,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.600030,,,,,,,,,,,1.0000,40.0,30.2,73.0,55.5,63.0,43.8,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=1.039% | real-data@2026-03-13 | close=25.75 | target=25.99 | fv_source=target_mean_price | dcf_symbol=SH.600030 | upside=0.9%
002475.SZ,立讯精密,Unknown,1.2623,39.0787,39.0787,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SZ.002475,,,,,,,,,,,1.0000,61.9,34.2,55.5,56.2,25.4,58.3,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.996% | real-data@2026-03-13 | close=49.33 | target=39.08 | fv_source=target_mean_price | dcf_symbol=SZ.002475 | upside=-20.8%
688256.SS,寒武纪,Unknown,1.1546,949.3421,949.3421,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.688256,,,,,,,,,,,1.0000,12.8,16.3,63.2,66.5,26.8,42.1,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.966% | real-data@2026-03-13 | close=1096.10 | target=949.34 | fv_source=target_mean_price | dcf_symbol=SH.688256 | upside=-13.4%
688041.SS,海光信息,Unknown,1.5894,148.3234,148.3234,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.688041,,,,,,,,,,,1.0000,24.4,29.6,18.8,57.7,34.5,37.4,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.944% | real-data@2026-03-13 | close=235.74 | target=148.32 | fv_source=target_mean_price | dcf_symbol=SH.688041 | upside=-37.1%
603259.SS,药明康德,Unknown,1.3202,68.8299,68.8299,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.603259,,,,,,,,,,,1.0000,18.0,29.3,45.3,53.4,39.7,34.5,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.943% | real-data@2026-03-13 | close=90.87 | target=68.83 | fv_source=target_mean_price | dcf_symbol=SH.603259 | upside=-24.3%
688981.SS,中芯国际,Unknown,1.2540,85.3767,85.3767,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.688981,,,,,,,,,,,1.0000,58.6,33.1,51.4,58.8,40.7,57.8,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.894% | real-data@2026-03-13 | close=107.06 | target=85.38 | fv_source=target_mean_price | dcf_symbol=SH.688981 | upside=-20.3%
601398.SS,工商银行,Unknown,1.1582,6.2167,6.2167,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.601398,,,,,,,,,,,1.0000,45.1,46.2,60.0,72.0,73.7,42.4,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.871% | real-data@2026-03-13 | close=7.20 | target=6.22 | fv_source=target_mean_price | dcf_symbol=SH.601398 | upside=-13.7%
601138.SS,工业富联,Unknown,1.5378,34.1321,34.1321,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.601138,,,,,,,,,,,1.0000,60.3,26.9,42.2,61.1,20.8,62.3,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.861% | real-data@2026-03-13 | close=52.49 | target=34.13 | fv_source=target_mean_price | dcf_symbol=SH.601138 | upside=-35.0%
601211.SS,国泰海通,Unknown,0.9021,19.8861,19.8861,target_mean_price,yahoo_target_mean_price(dcf_missing_payload),SH.601211,,,,,,,,,,,1.0000,42.4,19.5,69.5,47.4,59.2,45.2,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.832% | real-data@2026-03-13 | close=17.94 | target=19.89 | fv_source=target_mean_price | dcf_symbol=SH.601211 | upside=10.8%
