ticker,name,sector,price_to_fair_value,fair_value,target_mean_price,valuation_source,valuation_source_detail,dcf_symbol,dcf_iv_base,dcf_mos_base,dcf_price,dcf_status,dcf_quality_gate_status,dcf_quality_gate_score,dcf_quality_gate_issues,dcf_comps_crosscheck_status,dcf_comps_deviation_vs_median,dcf_comps_source,dcf_quality_penalty_multiplier,quality_score,growth_score,momentum_score,catalyst_score,risk_score,certainty_score,note
600519.SS,贵州茅台,Consumer Defensive,0.6608,2120.4222,,dcf_iv_base,SH.600519:iv_base,SH.600519,2120.4222,0.3392,1401.1801,hit20,caution,75.00,implied_growth_gap,unavailable,,external_validation_consensus,0.9400,4.6,63.0,62.2,37.1,81.0,18.7,A core | CSI300 constituent | weight=3.544% | real-data@2026-03-04 | close=1401.18 | target=NA(fallback-close) | fv_source=dcf_iv_base | dcf_symbol=SH.600519 | dcf_iv=2120.42 | upside=51.3%
000858.SZ,五 粮 液,Consumer Defensive,0.4836,208.8874,134.1330,dcf_iv_base,SZ.000858:iv_base,SZ.000858,208.8874,0.5112,102.1000,hit40,caution,75.00,implied_growth_gap,unavailable,,external_validation_consensus,0.9400,17.2,96.6,86.2,40.7,65.8,25.6,A core | CSI300 constituent | weight=0.786% | real-data@2026-03-04 | close=101.02 | target=134.13 | fv_source=dcf_iv_base | dcf_symbol=SZ.000858 | dcf_iv=208.89 | upside=106.8%
300750.SZ,宁德时代,Industrials,1.0117,334.9951,488.5296,dcf_iv_base,SZ.300750:iv_base,SZ.300750,334.9951,-0.0508,352.0000,overvalued,ok,100.00,,unavailable,,external_validation_consensus,1.0000,41.5,26.4,46.0,42.6,45.4,41.6,A core | CSI300 constituent | weight=3.518% | real-data@2026-03-04 | close=338.90 | target=488.53 | fv_source=dcf_iv_base | dcf_symbol=SZ.300750 | dcf_iv=335.00 | upside=-1.2%
600036.SS,招商银行,Financial Services,0.0975,395.8853,,dcf_iv_base,SH.600036:iv_base,SH.600036,395.8853,0.9007,39.3000,hit40,caution,65.00,implied_growth_gap,unavailable,,external_validation_consensus,0.9400,50.0,38.3,72.5,34.1,72.1,42.2,A core | CSI300 constituent | weight=1.866% | real-data@2026-03-04 | close=38.60 | target=NA(fallback-close) | fv_source=dcf_iv_base | dcf_symbol=SH.600036 | dcf_iv=395.89 | upside=925.6%
601318.SS,中国平安,Financial Services,0.0847,729.5194,,dcf_iv_base,SH.601318:iv_base,SH.601318,729.5194,0.9131,63.3800,hit40,caution,75.00,implied_growth_gap,unavailable,,external_validation_consensus,0.9400,46.7,17.0,43.4,25.2,65.0,43.3,A core | CSI300 constituent | weight=2.616% | real-data@2026-03-04 | close=61.79 | target=NA(fallback-close) | fv_source=dcf_iv_base | dcf_symbol=SH.601318 | dcf_iv=729.52 | upside=1080.6%
600900.SS,长江电力,Utilities,0.9488,28.5526,,dcf_iv_base,SH.600900:iv_base,SH.600900,28.5526,0.0593,26.8600,watch,ok,100.00,,unavailable,,external_validation_consensus,1.0000,40.8,30.1,63.1,44.6,84.7,33.7,A core | CSI300 constituent | weight=1.239% | real-data@2026-03-04 | close=27.09 | target=NA(fallback-close) | fv_source=dcf_iv_base | dcf_symbol=SH.600900 | dcf_iv=28.55 | upside=5.4%
002594.SZ,比亚迪,Consumer Cyclical,0.4959,193.5859,122.0344,dcf_iv_base,SZ.002594:iv_base,SZ.002594,193.5859,0.5048,95.8700,hit40,caution,75.00,implied_growth_gap,unavailable,,external_validation_consensus,0.9400,53.9,84.4,72.8,30.5,43.3,47.9,A core | CSI300 constituent | weight=0.944% | real-data@2026-03-04 | close=95.99 | target=122.03 | fv_source=dcf_iv_base | dcf_symbol=SZ.002594 | dcf_iv=193.59 | upside=101.7%
600276.SS,恒瑞医药,Healthcare,2.3421,22.6204,,dcf_iv_base,SH.600276:iv_base,SH.600276,22.6204,-1.3943,54.1600,overvalued,caution,75.00,implied_growth_gap,unavailable,,external_validation_consensus,0.9400,21.5,44.8,72.8,66.3,58.1,34.3,A core | CSI300 constituent | weight=0.982% | real-data@2026-03-04 | close=52.98 | target=NA(fallback-close) | fv_source=dcf_iv_base | dcf_symbol=SH.600276 | dcf_iv=22.62 | upside=-57.3%
601899.SS,紫金矿业,Basic Materials,0.7420,51.1575,,dcf_iv_base,SH.601899:iv_base,SH.601899,51.1575,0.2253,39.6300,hit20,ok,100.00,,unavailable,,external_validation_consensus,1.0000,42.8,26.7,6.3,29.1,44.3,48.7,A core | CSI300 constituent | weight=2.534% | real-data@2026-03-04 | close=37.96 | target=NA(fallback-close) | fv_source=dcf_iv_base | dcf_symbol=SH.601899 | dcf_iv=51.16 | upside=34.8%
300308.SZ,中际旭创,Technology,0.7946,678.2925,678.2925,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,,,,,,,1.0000,20.0,4.3,9.3,17.4,15.6,47.4,A core | CSI300 constituent | weight=2.308% | real-data@2026-03-04 | close=539.00 | target=678.29 | fv_source=target_mean_price | upside=25.8%
