ticker,name,sector,price_to_fair_value,fair_value,target_mean_price,valuation_source,valuation_source_detail,dcf_symbol,dcf_iv_base,dcf_mos_base,dcf_price,dcf_status,quality_score,growth_score,momentum_score,catalyst_score,risk_score,certainty_score,note
000063.SZ,中兴通讯,Technology,0.6911,53.1789,53.1789,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,70.1,83.0,69.5,45.6,29.9,70.0,A core | CSI300 constituent | weight=0.484% | real-data@2026-03-03 | close=36.75 | target=53.18 | fv_source=target_mean_price | upside=44.7%
601012.SS,隆基绿能,Technology,1.0000,17.9900,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,84.6,63.8,50.2,58.8,45.2,67.3,A core | CSI300 constituent | weight=0.432% | real-data@2026-03-03 | close=17.99 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
600016.SS,民生银行,Financial Services,1.0000,3.9200,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,63.0,78.1,72.1,64.2,62.7,51.4,A core | CSI300 constituent | weight=0.375% | real-data@2026-03-03 | close=3.92 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
601127.SS,赛力斯,Consumer Cyclical,1.0000,102.4000,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,40.7,51.8,89.9,62.1,33.0,51.8,A core | CSI300 constituent | weight=0.341% | real-data@2026-03-03 | close=102.40 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
600809.SS,山西汾酒,Consumer Defensive,1.0000,161.6800,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,8.7,60.3,86.0,62.0,59.3,28.2,A core | CSI300 constituent | weight=0.306% | real-data@2026-03-03 | close=161.68 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
000977.SZ,浪潮信息,Technology,0.7733,75.9437,75.9437,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,73.3,66.5,66.4,41.2,34.8,70.4,A core | CSI300 constituent | weight=0.255% | real-data@2026-03-03 | close=58.73 | target=75.94 | fv_source=target_mean_price | upside=29.3%
000938.SZ,紫光股份,Technology,0.7521,31.7250,31.7250,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,72.0,59.8,75.9,51.7,37.3,70.1,A core | CSI300 constituent | weight=0.202% | real-data@2026-03-03 | close=23.86 | target=31.73 | fv_source=target_mean_price | upside=33.0%
600438.SS,通威股份,Technology,1.0000,18.1600,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,87.6,59.1,85.3,58.8,31.5,73.4,A core | CSI300 constituent | weight=0.191% | real-data@2026-03-02 | close=18.16 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
002493.SZ,荣盛石化,Basic Materials,1.3958,11.0620,11.0620,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,85.1,29.9,6.7,58.8,50.5,72.2,A core | CSI300 constituent | weight=0.182% | real-data@2026-03-03 | close=15.44 | target=11.06 | fv_source=target_mean_price | upside=-28.4%
600570.SS,恒生电子,Technology,1.0000,27.6800,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,32.7,92.2,85.1,69.3,41.4,45.2,A core | CSI300 constituent | weight=0.177% | real-data@2026-03-03 | close=27.68 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
002074.SZ,国轩高科,Industrials,0.8924,40.6111,40.6111,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,67.1,7.6,41.6,45.6,31.9,67.9,A core | CSI300 constituent | weight=0.160% | real-data@2026-03-03 | close=36.24 | target=40.61 | fv_source=target_mean_price | upside=12.1%
002648.SZ,卫星化学,Basic Materials,0.9730,24.4600,24.4600,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,49.0,89.7,23.6,55.5,27.8,63.9,A core | CSI300 constituent | weight=0.153% | real-data@2026-03-03 | close=23.80 | target=24.46 | fv_source=target_mean_price | upside=2.8%
002601.SZ,龙佰集团,Basic Materials,0.9565,22.9157,22.9157,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,72.3,94.6,23.9,65.9,55.9,63.2,A core | CSI300 constituent | weight=0.152% | real-data@2026-03-03 | close=21.92 | target=22.92 | fv_source=target_mean_price | upside=4.5%
002422.SZ,科伦药业,Healthcare,0.7569,39.0000,39.0000,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,51.2,95.9,77.4,56.6,49.6,57.2,A core | CSI300 constituent | weight=0.133% | real-data@2026-03-03 | close=29.52 | target=39.00 | fv_source=target_mean_price | upside=32.1%
688036.SS,传音控股,Technology,1.0000,54.0800,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,58.0,93.6,96.1,70.5,26.5,61.8,A core | CSI300 constituent | weight=0.129% | real-data@2026-03-03 | close=54.08 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
000002.SZ,万科A,Real Estate,0.8815,5.2975,5.2975,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,93.4,66.9,96.2,59.3,31.6,77.7,A core | CSI300 constituent | weight=0.128% | real-data@2026-03-03 | close=4.67 | target=5.30 | fv_source=target_mean_price | upside=13.4%
601868.SS,中国能建,Industrials,1.0000,2.5200,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,81.3,73.6,46.5,69.6,60.0,60.6,A core | CSI300 constituent | weight=0.128% | real-data@2026-03-03 | close=2.52 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
301236.SZ,软通动力,Technology,1.0000,46.2500,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,80.6,65.5,85.8,59.3,25.0,72.5,A core | CSI300 constituent | weight=0.128% | real-data@2026-03-03 | close=46.25 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
601788.SS,光大证券,Financial Services,1.0000,16.2100,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,41.7,71.9,77.7,62.0,59.0,43.1,A core | CSI300 constituent | weight=0.126% | real-data@2026-03-03 | close=16.21 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
300782.SZ,卓胜微,Technology,1.0551,73.9283,73.9283,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,71.4,59.1,57.6,66.4,33.8,66.2,A core | CSI300 constituent | weight=0.117% | real-data@2026-03-03 | close=78.00 | target=73.93 | fv_source=target_mean_price | upside=-5.2%
688169.SS,石头科技,Industrials,1.0000,135.1400,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,36.2,60.7,92.3,68.0,27.0,51.8,A core | CSI300 constituent | weight=0.115% | real-data@2026-03-03 | close=135.14 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
600588.SS,用友网络,Technology,1.0000,13.1500,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,74.6,53.3,86.2,58.8,27.6,68.9,A core | CSI300 constituent | weight=0.113% | real-data@2026-03-03 | close=13.15 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
601800.SS,中国交建,Industrials,1.0000,8.0800,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,79.6,75.7,75.2,65.6,65.9,57.8,A core | CSI300 constituent | weight=0.113% | real-data@2026-03-03 | close=8.08 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
601633.SS,长城汽车,Consumer Cyclical,1.0000,20.1700,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,61.1,67.5,83.3,68.6,57.5,52.4,A core | CSI300 constituent | weight=0.100% | real-data@2026-03-03 | close=20.17 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
002459.SZ,晶澳科技,Technology,0.9318,12.7383,12.7383,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,96.5,66.7,63.9,53.7,34.4,82.1,A core | CSI300 constituent | weight=0.093% | real-data@2026-03-03 | close=11.87 | target=12.74 | fv_source=target_mean_price | upside=7.3%
601618.SS,中国中冶,Industrials,1.0000,3.1200,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,78.8,94.4,64.2,70.1,38.0,67.2,A core | CSI300 constituent | weight=0.089% | real-data@2026-03-03 | close=3.12 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
688472.SS,阿特斯,Technology,1.0000,13.8800,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,62.0,98.5,43.2,71.0,18.2,66.5,A core | CSI300 constituent | weight=0.083% | real-data@2026-03-03 | close=13.88 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
600845.SS,宝信软件,Technology,1.0000,22.4000,,close_fallback,close_fallback(dcf_symbol_unavailable),,,,,,37.9,90.1,74.5,67.9,44.5,46.5,A core | CSI300 constituent | weight=0.081% | real-data@2026-03-03 | close=22.40 | target=NA(fallback-close) | fv_source=close_fallback | upside=0.0%
000983.SZ,山西焦煤,Energy,0.9797,7.7167,7.7167,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,62.8,93.1,42.3,68.6,62.2,59.6,A core | CSI300 constituent | weight=0.081% | real-data@2026-03-03 | close=7.56 | target=7.72 | fv_source=target_mean_price | upside=2.1%
