ticker,market,name,sector,liquidity_tag,included_reason,note
600519.SS,A,贵州茅台,Unknown,csi300_constituent,CSI300 constituent (weight=3.544%),A core | CSI300 constituent | weight=3.544%
000858.SZ,A,五 粮 液,Unknown,csi300_constituent,CSI300 constituent (weight=0.786%),A core | CSI300 constituent | weight=0.786%
300750.SZ,A,宁德时代,Unknown,csi300_constituent,CSI300 constituent (weight=3.518%),A core | CSI300 constituent | weight=3.518%
600036.SS,A,招商银行,Unknown,csi300_constituent,CSI300 constituent (weight=1.866%),A core | CSI300 constituent | weight=1.866%
601318.SS,A,中国平安,Unknown,csi300_constituent,CSI300 constituent (weight=2.616%),A core | CSI300 constituent | weight=2.616%
600900.SS,A,长江电力,Unknown,csi300_constituent,CSI300 constituent (weight=1.239%),A core | CSI300 constituent | weight=1.239%
002594.SZ,A,比亚迪,Unknown,csi300_constituent,CSI300 constituent (weight=0.944%),A core | CSI300 constituent | weight=0.944%
600276.SS,A,恒瑞医药,Unknown,csi300_constituent,CSI300 constituent (weight=0.982%),A core | CSI300 constituent | weight=0.982%
601899.SS,A,紫金矿业,Unknown,csi300_constituent,CSI300 constituent (weight=2.534%),A core | CSI300 constituent | weight=2.534%
300308.SZ,A,中际旭创,Unknown,csi300_constituent,CSI300 constituent (weight=2.308%),A core | CSI300 constituent | weight=2.308%
000333.SZ,A,美的集团,Unknown,csi300_constituent,CSI300 constituent (weight=1.506%),A core | CSI300 constituent | weight=1.506%
300502.SZ,A,新易盛,Unknown,csi300_constituent,CSI300 constituent (weight=1.391%),A core | CSI300 constituent | weight=1.391%
601166.SS,A,兴业银行,Unknown,csi300_constituent,CSI300 constituent (weight=1.206%),A core | CSI300 constituent | weight=1.206%
300059.SZ,A,东方财富,Unknown,csi300_constituent,CSI300 constituent (weight=1.108%),A core | CSI300 constituent | weight=1.108%
600030.SS,A,中信证券,Unknown,csi300_constituent,CSI300 constituent (weight=1.039%),A core | CSI300 constituent | weight=1.039%
002475.SZ,A,立讯精密,Unknown,csi300_constituent,CSI300 constituent (weight=0.996%),A core | CSI300 constituent | weight=0.996%
688256.SS,A,寒武纪,Unknown,csi300_constituent,CSI300 constituent (weight=0.966%),A core | CSI300 constituent | weight=0.966%
688041.SS,A,海光信息,Unknown,csi300_constituent,CSI300 constituent (weight=0.944%),A core | CSI300 constituent | weight=0.944%
603259.SS,A,药明康德,Unknown,csi300_constituent,CSI300 constituent (weight=0.943%),A core | CSI300 constituent | weight=0.943%
688981.SS,A,中芯国际,Unknown,csi300_constituent,CSI300 constituent (weight=0.894%),A core | CSI300 constituent | weight=0.894%
601398.SS,A,工商银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.871%),A core | CSI300 constituent | weight=0.871%
601138.SS,A,工业富联,Unknown,csi300_constituent,CSI300 constituent (weight=0.861%),A core | CSI300 constituent | weight=0.861%
601211.SS,A,国泰海通,Unknown,csi300_constituent,CSI300 constituent (weight=0.832%),A core | CSI300 constituent | weight=0.832%
300274.SZ,A,阳光电源,Unknown,csi300_constituent,CSI300 constituent (weight=0.816%),A core | CSI300 constituent | weight=0.816%
603993.SS,A,洛阳钼业,Unknown,csi300_constituent,CSI300 constituent (weight=0.815%),A core | CSI300 constituent | weight=0.815%
002371.SZ,A,北方华创,Unknown,csi300_constituent,CSI300 constituent (weight=0.795%),A core | CSI300 constituent | weight=0.795%
603986.SS,A,兆易创新,Unknown,csi300_constituent,CSI300 constituent (weight=0.779%),A core | CSI300 constituent | weight=0.779%
688008.SS,A,澜起科技,Unknown,csi300_constituent,CSI300 constituent (weight=0.729%),A core | CSI300 constituent | weight=0.729%
300476.SZ,A,胜宏科技,Unknown,csi300_constituent,CSI300 constituent (weight=0.721%),A core | CSI300 constituent | weight=0.721%
601288.SS,A,农业银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.715%),A core | CSI300 constituent | weight=0.715%
601328.SS,A,交通银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.680%),A core | CSI300 constituent | weight=0.680%
600309.SS,A,万华化学,Unknown,csi300_constituent,CSI300 constituent (weight=0.679%),A core | CSI300 constituent | weight=0.679%
300394.SZ,A,天孚通信,Unknown,csi300_constituent,CSI300 constituent (weight=0.669%),A core | CSI300 constituent | weight=0.669%
600150.SS,A,中国船舶,Unknown,csi300_constituent,CSI300 constituent (weight=0.663%),A core | CSI300 constituent | weight=0.663%
000651.SZ,A,格力电器,Unknown,csi300_constituent,CSI300 constituent (weight=0.653%),A core | CSI300 constituent | weight=0.653%
600887.SS,A,伊利股份,Unknown,csi300_constituent,CSI300 constituent (weight=0.642%),A core | CSI300 constituent | weight=0.642%
000725.SZ,A,京东方A,Unknown,csi300_constituent,CSI300 constituent (weight=0.640%),A core | CSI300 constituent | weight=0.640%
600111.SS,A,北方稀土,Unknown,csi300_constituent,CSI300 constituent (weight=0.614%),A core | CSI300 constituent | weight=0.614%
688012.SS,A,中微公司,Unknown,csi300_constituent,CSI300 constituent (weight=0.601%),A core | CSI300 constituent | weight=0.601%
600089.SS,A,特变电工,Unknown,csi300_constituent,CSI300 constituent (weight=0.596%),A core | CSI300 constituent | weight=0.596%
600919.SS,A,江苏银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.591%),A core | CSI300 constituent | weight=0.591%
000338.SZ,A,潍柴动力,Unknown,csi300_constituent,CSI300 constituent (weight=0.587%),A core | CSI300 constituent | weight=0.587%
601816.SS,A,京沪高铁,Unknown,csi300_constituent,CSI300 constituent (weight=0.565%),A core | CSI300 constituent | weight=0.565%
601601.SS,A,中国太保,Unknown,csi300_constituent,CSI300 constituent (weight=0.543%),A core | CSI300 constituent | weight=0.543%
601088.SS,A,中国神华,Unknown,csi300_constituent,CSI300 constituent (weight=0.542%),A core | CSI300 constituent | weight=0.542%
300124.SZ,A,汇川技术,Unknown,csi300_constituent,CSI300 constituent (weight=0.536%),A core | CSI300 constituent | weight=0.536%
600031.SS,A,三一重工,Unknown,csi300_constituent,CSI300 constituent (weight=0.534%),A core | CSI300 constituent | weight=0.534%
603019.SS,A,中科曙光,Unknown,csi300_constituent,CSI300 constituent (weight=0.525%),A core | CSI300 constituent | weight=0.525%
002028.SZ,A,思源电气,Unknown,csi300_constituent,CSI300 constituent (weight=0.519%),A core | CSI300 constituent | weight=0.519%
600000.SS,A,浦发银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.504%),A core | CSI300 constituent | weight=0.504%
002230.SZ,A,科大讯飞,Unknown,csi300_constituent,CSI300 constituent (weight=0.502%),A core | CSI300 constituent | weight=0.502%
002714.SZ,A,牧原股份,Unknown,csi300_constituent,CSI300 constituent (weight=0.498%),A core | CSI300 constituent | weight=0.498%
601688.SS,A,华泰证券,Unknown,csi300_constituent,CSI300 constituent (weight=0.486%),A core | CSI300 constituent | weight=0.486%
000063.SZ,A,中兴通讯,Unknown,csi300_constituent,CSI300 constituent (weight=0.484%),A core | CSI300 constituent | weight=0.484%
601857.SS,A,中国石油,Unknown,csi300_constituent,CSI300 constituent (weight=0.479%),A core | CSI300 constituent | weight=0.479%
000792.SZ,A,盐湖股份,Unknown,csi300_constituent,CSI300 constituent (weight=0.472%),A core | CSI300 constituent | weight=0.472%
603799.SS,A,华友钴业,Unknown,csi300_constituent,CSI300 constituent (weight=0.464%),A core | CSI300 constituent | weight=0.464%
000425.SZ,A,徐工机械,Unknown,csi300_constituent,CSI300 constituent (weight=0.448%),A core | CSI300 constituent | weight=0.448%
002415.SZ,A,海康威视,Unknown,csi300_constituent,CSI300 constituent (weight=0.448%),A core | CSI300 constituent | weight=0.448%
002050.SZ,A,三花智控,Unknown,csi300_constituent,CSI300 constituent (weight=0.446%),A core | CSI300 constituent | weight=0.446%
002463.SZ,A,沪电股份,Unknown,csi300_constituent,CSI300 constituent (weight=0.438%),A core | CSI300 constituent | weight=0.438%
300760.SZ,A,迈瑞医疗,Unknown,csi300_constituent,CSI300 constituent (weight=0.438%),A core | CSI300 constituent | weight=0.438%
601012.SS,A,隆基绿能,Unknown,csi300_constituent,CSI300 constituent (weight=0.432%),A core | CSI300 constituent | weight=0.432%
002384.SZ,A,东山精密,Unknown,csi300_constituent,CSI300 constituent (weight=0.427%),A core | CSI300 constituent | weight=0.427%
600406.SS,A,国电南瑞,Unknown,csi300_constituent,CSI300 constituent (weight=0.426%),A core | CSI300 constituent | weight=0.426%
601600.SS,A,中国铝业,Unknown,csi300_constituent,CSI300 constituent (weight=0.423%),A core | CSI300 constituent | weight=0.423%
000001.SZ,A,平安银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.411%),A core | CSI300 constituent | weight=0.411%
601668.SS,A,中国建筑,Unknown,csi300_constituent,CSI300 constituent (weight=0.405%),A core | CSI300 constituent | weight=0.405%
603501.SS,A,豪威集团,Unknown,csi300_constituent,CSI300 constituent (weight=0.405%),A core | CSI300 constituent | weight=0.405%
000100.SZ,A,TCL科技,Unknown,csi300_constituent,CSI300 constituent (weight=0.402%),A core | CSI300 constituent | weight=0.402%
002142.SZ,A,宁波银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.402%),A core | CSI300 constituent | weight=0.402%
600660.SS,A,福耀玻璃,Unknown,csi300_constituent,CSI300 constituent (weight=0.376%),A core | CSI300 constituent | weight=0.376%
601229.SS,A,上海银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.375%),A core | CSI300 constituent | weight=0.375%
600690.SS,A,海尔智家,Unknown,csi300_constituent,CSI300 constituent (weight=0.375%),A core | CSI300 constituent | weight=0.375%
600016.SS,A,民生银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.375%),A core | CSI300 constituent | weight=0.375%
601919.SS,A,中远海控,Unknown,csi300_constituent,CSI300 constituent (weight=0.368%),A core | CSI300 constituent | weight=0.368%
600028.SS,A,中国石化,Unknown,csi300_constituent,CSI300 constituent (weight=0.366%),A core | CSI300 constituent | weight=0.366%
600489.SS,A,中金黄金,Unknown,csi300_constituent,CSI300 constituent (weight=0.360%),A core | CSI300 constituent | weight=0.360%
601225.SS,A,陕西煤业,Unknown,csi300_constituent,CSI300 constituent (weight=0.358%),A core | CSI300 constituent | weight=0.358%
002352.SZ,A,顺丰控股,Unknown,csi300_constituent,CSI300 constituent (weight=0.354%),A core | CSI300 constituent | weight=0.354%
601728.SS,A,中国电信,Unknown,csi300_constituent,CSI300 constituent (weight=0.350%),A core | CSI300 constituent | weight=0.350%
601127.SS,A,赛力斯,Unknown,csi300_constituent,CSI300 constituent (weight=0.341%),A core | CSI300 constituent | weight=0.341%
600938.SS,A,中国海油,Unknown,csi300_constituent,CSI300 constituent (weight=0.334%),A core | CSI300 constituent | weight=0.334%
600547.SS,A,山东黄金,Unknown,csi300_constituent,CSI300 constituent (weight=0.333%),A core | CSI300 constituent | weight=0.333%
300498.SZ,A,温氏股份,Unknown,csi300_constituent,CSI300 constituent (weight=0.331%),A core | CSI300 constituent | weight=0.331%
600941.SS,A,中国移动,Unknown,csi300_constituent,CSI300 constituent (weight=0.331%),A core | CSI300 constituent | weight=0.331%
300442.SZ,A,润泽科技,Unknown,csi300_constituent,CSI300 constituent (weight=0.329%),A core | CSI300 constituent | weight=0.329%
300408.SZ,A,三环集团,Unknown,csi300_constituent,CSI300 constituent (weight=0.329%),A core | CSI300 constituent | weight=0.329%
600183.SS,A,生益科技,Unknown,csi300_constituent,CSI300 constituent (weight=0.327%),A core | CSI300 constituent | weight=0.327%
002460.SZ,A,赣锋锂业,Unknown,csi300_constituent,CSI300 constituent (weight=0.321%),A core | CSI300 constituent | weight=0.321%
600926.SS,A,杭州银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.321%),A core | CSI300 constituent | weight=0.321%
000568.SZ,A,泸州老窖,Unknown,csi300_constituent,CSI300 constituent (weight=0.316%),A core | CSI300 constituent | weight=0.316%
601169.SS,A,北京银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.310%),A core | CSI300 constituent | weight=0.310%
600522.SS,A,中天科技,Unknown,csi300_constituent,CSI300 constituent (weight=0.309%),A core | CSI300 constituent | weight=0.309%
601888.SS,A,中国中免,Unknown,csi300_constituent,CSI300 constituent (weight=0.306%),A core | CSI300 constituent | weight=0.306%
600809.SS,A,山西汾酒,Unknown,csi300_constituent,CSI300 constituent (weight=0.306%),A core | CSI300 constituent | weight=0.306%
300014.SZ,A,亿纬锂能,Unknown,csi300_constituent,CSI300 constituent (weight=0.302%),A core | CSI300 constituent | weight=0.302%
600050.SS,A,中国联通,Unknown,csi300_constituent,CSI300 constituent (weight=0.299%),A core | CSI300 constituent | weight=0.299%
601766.SS,A,中国中车,Unknown,csi300_constituent,CSI300 constituent (weight=0.298%),A core | CSI300 constituent | weight=0.298%
002916.SZ,A,深南电路,Unknown,csi300_constituent,CSI300 constituent (weight=0.296%),A core | CSI300 constituent | weight=0.296%
600893.SS,A,航发动力,Unknown,csi300_constituent,CSI300 constituent (weight=0.296%),A core | CSI300 constituent | weight=0.296%
601988.SS,A,中国银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.294%),A core | CSI300 constituent | weight=0.294%
601628.SS,A,中国人寿,Unknown,csi300_constituent,CSI300 constituent (weight=0.288%),A core | CSI300 constituent | weight=0.288%
600010.SS,A,包钢股份,Unknown,csi300_constituent,CSI300 constituent (weight=0.285%),A core | CSI300 constituent | weight=0.285%
601939.SS,A,建设银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.283%),A core | CSI300 constituent | weight=0.283%
002625.SZ,A,光启技术,Unknown,csi300_constituent,CSI300 constituent (weight=0.281%),A core | CSI300 constituent | weight=0.281%
002027.SZ,A,分众传媒,Unknown,csi300_constituent,CSI300 constituent (weight=0.278%),A core | CSI300 constituent | weight=0.278%
300033.SZ,A,同花顺,Unknown,csi300_constituent,CSI300 constituent (weight=0.278%),A core | CSI300 constituent | weight=0.278%
601985.SS,A,中国核电,Unknown,csi300_constituent,CSI300 constituent (weight=0.273%),A core | CSI300 constituent | weight=0.273%
300433.SZ,A,蓝思科技,Unknown,csi300_constituent,CSI300 constituent (weight=0.273%),A core | CSI300 constituent | weight=0.273%
601009.SS,A,南京银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.271%),A core | CSI300 constituent | weight=0.271%
688111.SS,A,金山办公,Unknown,csi300_constituent,CSI300 constituent (weight=0.271%),A core | CSI300 constituent | weight=0.271%
600584.SS,A,长电科技,Unknown,csi300_constituent,CSI300 constituent (weight=0.268%),A core | CSI300 constituent | weight=0.268%
000408.SZ,A,藏格矿业,Unknown,csi300_constituent,CSI300 constituent (weight=0.263%),A core | CSI300 constituent | weight=0.263%
002241.SZ,A,歌尔股份,Unknown,csi300_constituent,CSI300 constituent (weight=0.262%),A core | CSI300 constituent | weight=0.262%
600104.SS,A,上汽集团,Unknown,csi300_constituent,CSI300 constituent (weight=0.256%),A core | CSI300 constituent | weight=0.256%
000977.SZ,A,浪潮信息,Unknown,csi300_constituent,CSI300 constituent (weight=0.255%),A core | CSI300 constituent | weight=0.255%
600176.SS,A,中国巨石,Unknown,csi300_constituent,CSI300 constituent (weight=0.253%),A core | CSI300 constituent | weight=0.253%
000807.SZ,A,云铝股份,Unknown,csi300_constituent,CSI300 constituent (weight=0.253%),A core | CSI300 constituent | weight=0.253%
688271.SS,A,联影医疗,Unknown,csi300_constituent,CSI300 constituent (weight=0.251%),A core | CSI300 constituent | weight=0.251%
601390.SS,A,中国中铁,Unknown,csi300_constituent,CSI300 constituent (weight=0.251%),A core | CSI300 constituent | weight=0.251%
000630.SZ,A,铜陵有色,Unknown,csi300_constituent,CSI300 constituent (weight=0.248%),A core | CSI300 constituent | weight=0.248%
601336.SS,A,新华保险,Unknown,csi300_constituent,CSI300 constituent (weight=0.245%),A core | CSI300 constituent | weight=0.245%
600019.SS,A,宝钢股份,Unknown,csi300_constituent,CSI300 constituent (weight=0.244%),A core | CSI300 constituent | weight=0.244%
601006.SS,A,大秦铁路,Unknown,csi300_constituent,CSI300 constituent (weight=0.240%),A core | CSI300 constituent | weight=0.240%
600999.SS,A,招商证券,Unknown,csi300_constituent,CSI300 constituent (weight=0.240%),A core | CSI300 constituent | weight=0.240%
600585.SS,A,海螺水泥,Unknown,csi300_constituent,CSI300 constituent (weight=0.239%),A core | CSI300 constituent | weight=0.239%
000776.SZ,A,广发证券,Unknown,csi300_constituent,CSI300 constituent (weight=0.239%),A core | CSI300 constituent | weight=0.239%
601100.SS,A,恒立液压,Unknown,csi300_constituent,CSI300 constituent (weight=0.235%),A core | CSI300 constituent | weight=0.235%
002709.SZ,A,天赐材料,Unknown,csi300_constituent,CSI300 constituent (weight=0.234%),A core | CSI300 constituent | weight=0.234%
601818.SS,A,光大银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.234%),A core | CSI300 constituent | weight=0.234%
600362.SS,A,江西铜业,Unknown,csi300_constituent,CSI300 constituent (weight=0.234%),A core | CSI300 constituent | weight=0.234%
603288.SS,A,海天味业,Unknown,csi300_constituent,CSI300 constituent (weight=0.233%),A core | CSI300 constituent | weight=0.233%
600905.SS,A,三峡能源,Unknown,csi300_constituent,CSI300 constituent (weight=0.231%),A core | CSI300 constituent | weight=0.231%
601689.SS,A,拓普集团,Unknown,csi300_constituent,CSI300 constituent (weight=0.229%),A core | CSI300 constituent | weight=0.229%
002466.SZ,A,天齐锂业,Unknown,csi300_constituent,CSI300 constituent (weight=0.228%),A core | CSI300 constituent | weight=0.228%
600426.SS,A,华鲁恒升,Unknown,csi300_constituent,CSI300 constituent (weight=0.223%),A core | CSI300 constituent | weight=0.223%
002600.SZ,A,领益智造,Unknown,csi300_constituent,CSI300 constituent (weight=0.219%),A core | CSI300 constituent | weight=0.219%
600160.SS,A,巨化股份,Unknown,csi300_constituent,CSI300 constituent (weight=0.218%),A core | CSI300 constituent | weight=0.218%
000625.SZ,A,长安汽车,Unknown,csi300_constituent,CSI300 constituent (weight=0.214%),A core | CSI300 constituent | weight=0.214%
601658.SS,A,邮储银行,Unknown,csi300_constituent,CSI300 constituent (weight=0.213%),A core | CSI300 constituent | weight=0.213%
002049.SZ,A,紫光国微,Unknown,csi300_constituent,CSI300 constituent (weight=0.211%),A core | CSI300 constituent | weight=0.211%
600346.SS,A,恒力石化,Unknown,csi300_constituent,CSI300 constituent (weight=0.211%),A core | CSI300 constituent | weight=0.211%
300418.SZ,A,昆仑万维,Unknown,csi300_constituent,CSI300 constituent (weight=0.209%),A core | CSI300 constituent | weight=0.209%
600958.SS,A,东方证券,Unknown,csi300_constituent,CSI300 constituent (weight=0.206%),A core | CSI300 constituent | weight=0.206%
600989.SS,A,宝丰能源,Unknown,csi300_constituent,CSI300 constituent (weight=0.205%),A core | CSI300 constituent | weight=0.205%
601872.SS,A,招商轮船,Unknown,csi300_constituent,CSI300 constituent (weight=0.204%),A core | CSI300 constituent | weight=0.204%
