dcf_symbol,ticker,name,currency,active_policy_id
HK.00981,0981.HK,SMIC,HKD,anchored-hk-platform-r09-g3
HK.01211,1211.HK,BYD COMPANY,HKD,anchored-hk-platform-r09-g3
HK.01810,1810.HK,XIAOMI-W,HKD,anchored-hk-platform-r09-g3
HK.09618,9618.HK,JD-SW,HKD,anchored-hk-platform-r09-g3
HK.09988,9988.HK,BABA-W,HKD,anchored-hk-platform-r09-g3
HK.09999,9999.HK,NTES-S,HKD,anchored-hk-platform-r09-g3
SH.600036,600036.SS,CHINA MERCHANTS BANK CO LTD,CNY,anchored-cn-us-stable-r085-g3
SH.600276,600276.SS,JIANGSU HENGRUI PHARMACEUTICALS,CNY,anchored-cn-us-stable-r085-g3
SH.600900,600900.SS,CHINA YANGTZE POWER CO,CNY,anchored-cn-us-stable-r085-g3
SH.601318,601318.SS,PING AN INSURANCE(GROUP)CO.OF C,CNY,anchored-cn-us-stable-r085-g3
SH.601899,601899.SS,ZIJIN MINING GROUP CO.LTD,CNY,anchored-cn-us-stable-r085-g3
SZ.000858,000858.SZ,WULIANGYE YIBIN CO,CNY,anchored-cn-us-stable-r085-g3
SZ.002594,002594.SZ,BYD COMPANY LTD,CNY,anchored-cn-us-stable-r085-g3
SZ.300750,300750.SZ,CONTEMPORARY AMPER,CNY,anchored-cn-us-stable-r085-g3
US.ADBE,ADBE,Adobe Inc.,USD,anchored-us-quality-r09-g3
US.AMZN,AMZN,"Amazon.com, Inc.",USD,anchored-us-quality-r09-g3
US.BRK-B,BRK-B,Berkshire Hathaway Inc. New,USD,anchored-us-quality-r09-g3
US.JPM,JPM,JP Morgan Chase & Co.,USD,anchored-us-quality-r09-g3
US.META,META,"Meta Platforms, Inc.",USD,anchored-us-quality-r09-g3
US.MSFT,MSFT,Microsoft Corporation,USD,anchored-us-quality-r09-g3
US.TSLA,TSLA,"Tesla, Inc.",USD,anchored-us-quality-r09-g3
US.UNH,UNH,UnitedHealth Group Incorporated,USD,anchored-us-quality-r09-g3
US.V,V,Visa Inc.,USD,anchored-us-quality-r09-g3
US.XOM,XOM,Exxon Mobil Corporation,USD,anchored-us-quality-r09-g3
