ticker,name,sector,price_to_fair_value,fair_value,target_mean_price,valuation_source,valuation_source_detail,dcf_symbol,dcf_iv_base,dcf_mos_base,dcf_price,dcf_status,dcf_quality_gate_status,dcf_quality_gate_score,dcf_quality_gate_issues,dcf_comps_crosscheck_status,dcf_comps_deviation_vs_median,dcf_comps_source,dcf_quality_penalty_multiplier,quality_score,growth_score,momentum_score,catalyst_score,risk_score,certainty_score,data_lineage,note
600519.SS,贵州茅台,Unknown,0.6598,2120.4222,1565.2692,dcf_iv_base,SH.600519:iv_base,SH.600519,2120.4222,0.3402,1399.0400,hit20,caution,75.00,implied_growth_gap,unavailable,,external_validation_consensus,0.9400,7.8,50.4,67.6,23.4,73.7,13.7,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=3.544% | real-data@2026-03-04 | close=1399.04 | target=1565.27 | fv_source=dcf_iv_base | dcf_symbol=SH.600519 | dcf_iv=2120.42 | upside=51.6%
000858.SZ,五 粮 液,Unknown,0.4857,208.8874,134.1330,dcf_iv_base,SZ.000858:iv_base,SZ.000858,208.8874,0.5143,101.4500,hit40,caution,75.00,implied_growth_gap,warn,0.5573,external_validation_consensus,0.8930,17.8,81.9,94.5,27.5,56.1,26.4,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.786% | real-data@2026-03-04 | close=101.45 | target=134.13 | fv_source=dcf_iv_base | dcf_symbol=SZ.000858 | dcf_iv=208.89 | upside=105.9%
300750.SZ,宁德时代,Unknown,1.0455,334.9951,488.5296,dcf_iv_base,SZ.300750:iv_base,SZ.300750,334.9951,-0.0455,350.2500,overvalued,ok,100.00,,warn,-0.3143,external_validation_consensus,0.9500,44.5,35.5,47.4,59.3,45.8,40.6,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=3.518% | real-data@2026-03-04 | close=350.25 | target=488.53 | fv_source=dcf_iv_base | dcf_symbol=SZ.300750 | dcf_iv=335.00 | upside=-4.4%
600036.SS,招商银行,Unknown,0.0989,395.8853,37.4051,dcf_iv_base,SH.600036:iv_base,SH.600036,395.8853,0.9011,39.1500,hit40,caution,65.00,implied_growth_gap,unavailable,,external_validation_consensus,0.9400,31.0,56.4,78.8,40.9,66.8,36.1,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=1.866% | real-data@2026-03-04 | close=39.15 | target=37.41 | fv_source=dcf_iv_base | dcf_symbol=SH.600036 | dcf_iv=395.89 | upside=911.2%
601318.SS,中国平安,Unknown,0.0851,729.5194,54.1668,dcf_iv_base,SH.601318:iv_base,SH.601318,729.5194,0.9149,62.0800,hit40,caution,75.00,implied_growth_gap,unavailable,,external_validation_consensus,0.9400,47.8,26.5,48.8,39.8,64.7,47.0,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=2.616% | real-data@2026-03-04 | close=62.08 | target=54.17 | fv_source=dcf_iv_base | dcf_symbol=SH.601318 | dcf_iv=729.52 | upside=1075.1%
600900.SS,长江电力,Unknown,0.9484,28.5526,27.2930,dcf_iv_base,SH.600900:iv_base,SH.600900,28.5526,0.0516,27.0800,watch,ok,100.00,,unavailable,,external_validation_consensus,1.0000,41.6,37.8,65.9,26.6,73.9,41.0,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=1.239% | real-data@2026-03-04 | close=27.08 | target=27.29 | fv_source=dcf_iv_base | dcf_symbol=SH.600900 | dcf_iv=28.55 | upside=5.4%
002594.SZ,比亚迪,Unknown,0.4880,193.5859,122.0344,dcf_iv_base,SZ.002594:iv_base,SZ.002594,193.5859,0.5120,94.4700,hit40,caution,75.00,implied_growth_gap,warn,0.5863,external_validation_consensus,0.8930,57.3,72.1,78.8,26.5,35.9,49.8,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.944% | real-data@2026-03-04 | close=94.47 | target=122.03 | fv_source=dcf_iv_base | dcf_symbol=SZ.002594 | dcf_iv=193.59 | upside=104.9%
600276.SS,恒瑞医药,Unknown,2.3748,22.6204,53.9471,dcf_iv_base,SH.600276:iv_base,SH.600276,22.6204,-1.3748,53.7200,overvalued,caution,75.00,implied_growth_gap,unavailable,,external_validation_consensus,0.9400,21.6,46.3,78.0,56.8,47.7,33.2,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=0.982% | real-data@2026-03-04 | close=53.72 | target=53.95 | fv_source=dcf_iv_base | dcf_symbol=SH.600276 | dcf_iv=22.62 | upside=-57.9%
601899.SS,紫金矿业,Unknown,0.7364,51.1575,19.1855,dcf_iv_base,SH.601899:iv_base,SH.601899,51.1575,0.2636,37.6700,hit20,ok,100.00,,unavailable,,external_validation_consensus,1.0000,44.6,37.3,14.6,22.6,54.1,44.8,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=2.534% | real-data@2026-03-04 | close=37.67 | target=19.19 | fv_source=dcf_iv_base | dcf_symbol=SH.601899 | dcf_iv=51.16 | upside=35.8%
300308.SZ,中际旭创,Unknown,0.8212,678.2925,678.2925,target_mean_price,yahoo_target_mean_price(dcf_symbol_unavailable),,,,,,,,,,,,1.0000,24.8,17.5,16.8,30.0,20.3,44.2,hub_only(price_history+quote+fundamental+external),A core | CSI300 constituent | weight=2.308% | real-data@2026-03-04 | close=557.00 | target=678.29 | fv_source=target_mean_price | upside=21.8%
